iter	Logloss
0	0.6823704682
1	0.6713552498
2	0.6614534871
3	0.6514857812
4	0.6418790917
5	0.6326526238
6	0.6240507568
7	0.6159528297
8	0.6083415153
9	0.6008101397
10	0.5935558716
11	0.586395189
12	0.5802580042
13	0.5741606983
14	0.5678723924
15	0.5622487423
16	0.5568687296
17	0.5516018216
18	0.5461057902
19	0.5413579737
20	0.536608028
21	0.5322989583
22	0.5275874154
23	0.5233649986
24	0.5194290854
25	0.5157877255
26	0.5113868258
27	0.5077497955
28	0.5042467728
29	0.5009660689
30	0.4979231717
31	0.494486378
32	0.490720905
33	0.4880622923
34	0.4855747494
35	0.482627475
36	0.4801007322
37	0.4776335467
38	0.4747305418
39	0.4724565334
40	0.4696353127
41	0.4669232681
42	0.4647498116
43	0.4632516368
44	0.4604185538
45	0.4584513354
46	0.4569356954
47	0.45503401
48	0.452730665
49	0.4510329714
50	0.4489184046
51	0.4471519271
52	0.4454206663
53	0.4437422687
54	0.4425275251
55	0.4412717001
56	0.4397046867
57	0.4377264356
58	0.436796725
59	0.435640208
60	0.4340543193
61	0.4325565161
62	0.4313474576
63	0.4296786995
64	0.4280397228
65	0.4264116939
66	0.4249213121
67	0.4237829167
68	0.4228428425
69	0.4216244269
70	0.4202895577
71	0.4188234824
72	0.417463342
73	0.4166447099
74	0.4153526131
75	0.4142881157
76	0.4134545997
77	0.4126094263
78	0.4118023012
79	0.4109749889
80	0.4098987269
81	0.4088160422
82	0.4082648878
83	0.4076059567
84	0.4067032223
85	0.4056838485
86	0.4049170309
87	0.4038457886
88	0.4027826293
89	0.4018626445
90	0.4008747603
91	0.4000226673
92	0.3990981456
93	0.3981066356
94	0.3972985443
95	0.3967827248
96	0.3962298771
97	0.3953806805
98	0.3946179322
99	0.393468982
100	0.3927963817
101	0.3921322267
102	0.39159781
103	0.3907470429
104	0.3900603435
105	0.3891464046
106	0.3885852566
107	0.3880050717
108	0.3872764175
109	0.386680221
110	0.3857338557
111	0.3849228219
112	0.3841711989
113	0.3835424485
114	0.3829464551
115	0.3821843303
116	0.3814272239
117	0.3809083812
118	0.3803843476
119	0.3798281218
120	0.3793190216
121	0.378706383
122	0.3782231705
123	0.3773556579
124	0.3769514492
125	0.3766256554
126	0.3759491546
127	0.3755174466
128	0.3750780702
129	0.3747089856
130	0.3741978447
131	0.3737884149
132	0.3732501374
133	0.372769704
134	0.372327144
135	0.3713872855
136	0.3708711433
137	0.3703460159
138	0.3695850685
139	0.3692246318
140	0.3687405419
141	0.3683741039
142	0.3677571369
143	0.3672934168
144	0.3665633821
145	0.3662568592
146	0.3658045265
147	0.3654935073
148	0.3649617578
149	0.3644979129
150	0.3639137759
151	0.3636143153
152	0.3632003056
153	0.3624475794
154	0.3619695329
155	0.3617029686
156	0.3613683716
157	0.3610740924
158	0.3607105551
159	0.3602073848
160	0.3599041441
161	0.3594604525
162	0.359014904
163	0.3586020975
164	0.3579787188
165	0.3576497278
166	0.357292035
167	0.3569263146
168	0.3566349012
169	0.3564615566
170	0.3560665959
171	0.3555106475
172	0.3552035177
173	0.3548586643
174	0.3546586848
175	0.3543033982
176	0.3539524157
177	0.3534395425
178	0.3532064366
179	0.3529093626
180	0.3526107194
181	0.3521792586
182	0.3518736843
183	0.3515811716
184	0.3511476698
185	0.3508892088
186	0.3507275265
187	0.3504264733
188	0.3500508433
189	0.3497092742
190	0.3493722427
191	0.3488802479
192	0.3483552187
193	0.3479192966
194	0.3476073217
195	0.347319813
196	0.346873819
197	0.3464355827
198	0.34615481
199	0.3454699044
200	0.3451090182
201	0.344696779
202	0.3444177401
203	0.344022506
204	0.3437360857
205	0.3434395475
206	0.3428291938
207	0.3426265616
208	0.3423192252
209	0.3420070452
210	0.3417985269
211	0.3412402109
212	0.3410008191
213	0.3406645653
214	0.340283012
215	0.3400065761
216	0.3398386215
217	0.33962379
218	0.3393235464
219	0.3390350842
220	0.3387648624
221	0.3383528094
222	0.3380777019
223	0.3378062319
224	0.3374982345
225	0.3373122986
226	0.3369251728
227	0.3366822298
228	0.3363881034
229	0.3359881422
230	0.3357136762
231	0.3354711436
232	0.3350681038
233	0.3348724498
234	0.3346708146
235	0.3343804531
236	0.3338959795
237	0.3336042367
238	0.3332514537
239	0.3330587516
240	0.3328750046
241	0.3325365242
242	0.3320511105
243	0.3318472739
244	0.3315617931
245	0.3310693451
246	0.3307114612
247	0.3303838504
248	0.3301604429
249	0.3300189092
250	0.3297853081
251	0.3293927588
252	0.3289352213
253	0.3287360187
254	0.3283373792
255	0.3280577215
256	0.3279477443
257	0.3277314375
258	0.3272006928
259	0.3268638611
260	0.3266992228
261	0.3265119633
262	0.3263244526
263	0.3261584519
264	0.3258796121
265	0.3255052891
266	0.3252814545
267	0.3248841481
268	0.3243937284
269	0.3242522749
270	0.3239180824
271	0.3235526396
272	0.3231262786
273	0.3227479702
274	0.3222848874
275	0.3220171291
276	0.3215491926
277	0.3213417762
278	0.3209189013
279	0.3208024088
280	0.320531662
281	0.3201842275
282	0.319896943
283	0.3196386464
284	0.3194269757
285	0.3190572338
286	0.3187397102
287	0.318558758
288	0.3184005193
289	0.3180956091
290	0.3179238672
291	0.3177195492
292	0.317509682
293	0.3173262384
294	0.3170807811
295	0.3168709028
296	0.3166787092
297	0.3164360574
298	0.3162059945
299	0.3160504125
300	0.3158242402
301	0.3155740967
302	0.3152687107
303	0.3149847756
304	0.3148711096
305	0.314657702
306	0.3143638046
307	0.3140653098
308	0.3139178976
309	0.3136483113
310	0.3134623981
311	0.3133357557
312	0.3131182635
313	0.3129207744
314	0.3126938365
315	0.3124485282
316	0.3120979532
317	0.3117773904
318	0.3115246005
319	0.3112277001
320	0.3110373479
321	0.310773374
322	0.3106253531
323	0.3104423642
324	0.3100667328
325	0.3098903798
326	0.3097869558
327	0.3096088386
328	0.3093346175
329	0.3091397984
330	0.3088628182
331	0.3085600621
332	0.3083720294
333	0.3080849499
334	0.3079399402
335	0.3077127819
336	0.3075472439
337	0.3072183816
338	0.3070499005
339	0.3068790243
340	0.3066965696
341	0.3064760384
342	0.3063022534
343	0.305964452
344	0.3056538105
345	0.3052106833
346	0.3049866562
347	0.30483854
348	0.3044682844
349	0.3041652879
350	0.3038788258
351	0.3036434141
352	0.3034340786
353	0.3031829293
354	0.3030274706
355	0.3027868906
356	0.3025560022
357	0.3023853221
358	0.3021827839
359	0.3020868883
360	0.3015839275
361	0.3013012932
362	0.3009849447
363	0.3005951647
364	0.3004285649
365	0.2999140696
366	0.2998057266
367	0.2994519269
368	0.2991182668
369	0.2989400673
370	0.2987446492
371	0.2984139064
372	0.2981858826
373	0.297918381
374	0.2976197345
375	0.2974332733
376	0.2970032343
377	0.2967412924
378	0.2966091342
379	0.2963684631
380	0.2962582292
381	0.2959412488
382	0.295633836
383	0.2952979464
384	0.2950255325
385	0.2947217058
386	0.2943417268
387	0.2942015813
388	0.2939290848
389	0.2935772071
390	0.2932251453
391	0.2930258315
392	0.2927616123
393	0.2925763385
394	0.2922796688
395	0.2919418344
396	0.2915285924
397	0.2912501622
398	0.2910464443
399	0.2908188827
400	0.2906908855
401	0.2904335103
402	0.2901929949
403	0.2899089368
404	0.289628078
405	0.2892797959
406	0.2889401041
407	0.288719179
408	0.2884729985
409	0.2883333946
410	0.2879969655
411	0.2876063019
412	0.2872570529
413	0.2869174969
414	0.2867811097
415	0.2864970666
416	0.2862514161
417	0.2859987774
418	0.2856463636
419	0.2853831462
420	0.2852038098
421	0.2849399302
422	0.2846940287
423	0.2843092024
424	0.2840278017
425	0.2837477503
426	0.2835986921
427	0.2834069562
428	0.2832182194
429	0.2830332669
430	0.2828918776
431	0.2824988068
432	0.2821441246
433	0.2818529249
434	0.2816586917
435	0.2812463197
436	0.2809744159
437	0.2807770577
438	0.280595695
439	0.2804501121
440	0.2802591302
441	0.2800235257
442	0.2796097753
443	0.2793935351
444	0.2791013567
445	0.2787500485
446	0.2784104993
447	0.2780920444
448	0.2779108522
449	0.2778482405
450	0.2776807523
451	0.2775155274
452	0.2772173632
453	0.2770145397
454	0.2768480862
455	0.2765617117
456	0.2763042275
457	0.2761416687
458	0.2759110151
459	0.2756423247
460	0.2754128753
461	0.2752042804
462	0.2749370179
463	0.2746680484
464	0.2744054956
465	0.2742430511
466	0.2739500527
467	0.2737850594
468	0.2736217171
469	0.2733813796
470	0.2732049992
471	0.2730406109
472	0.2728898315
473	0.2726186677
474	0.2725101152
475	0.2721849727
476	0.2719310417
477	0.2717775934
478	0.2715464592
479	0.2712953509
480	0.2710833483
481	0.2709708733
482	0.270744608
483	0.2705606467
484	0.27034732
485	0.2699709765
486	0.2697705393
487	0.2694958322
488	0.2693434838
489	0.2691271063
490	0.2688646936
491	0.268725224
492	0.2685227832
493	0.2684290707
494	0.2680989502
495	0.2676811259
496	0.267333124
497	0.2670035858
498	0.2668036104
499	0.2667101589
500	0.2664497306
501	0.2663247149
502	0.2659905451
503	0.2658683066
504	0.265722645
505	0.2654602315
506	0.265146374
507	0.2649509028
508	0.264624403
509	0.264554017
510	0.264329976
511	0.2641391886
512	0.2640842233
513	0.2639099297
514	0.2635873007
515	0.2633619403
516	0.263289498
517	0.2631468132
518	0.2629502469
519	0.2625817659
520	0.2623912599
521	0.2622560757
522	0.2621272003
523	0.261936402
524	0.2618090554
525	0.2617004265
526	0.2613906652
527	0.2613673659
528	0.2612721802
529	0.2611436148
530	0.2609485194
531	0.260787263
532	0.2604706819
533	0.2603140722
534	0.2602338305
535	0.2600442338
536	0.2598416997
537	0.2597327692
538	0.2596260799
539	0.2595176926
540	0.259396265
541	0.2591221586
542	0.2589051198
543	0.2586717018
544	0.2584831061
545	0.2581649397
546	0.2578735607
547	0.2577674556
548	0.2574154362
549	0.2573258128
550	0.2571195511
551	0.2570031491
552	0.2567893669
553	0.2566837236
554	0.2563688841
555	0.2561335766
556	0.2558663621
557	0.2556354449
558	0.2553914294
559	0.2553397271
560	0.2552096417
561	0.2550748863
562	0.2548976982
563	0.2546736714
564	0.2545729018
565	0.2542733415
566	0.2541991545
567	0.2540401048
568	0.2538846057
569	0.2536808694
570	0.2532911423
571	0.2530848141
572	0.2529933536
573	0.2527568775
574	0.2525280862
575	0.2524657155
576	0.2523003681
577	0.2520679001
578	0.2519154993
579	0.2517375503
580	0.2515219017
581	0.2512981359
582	0.2510972616
583	0.2509201443
584	0.2505659068
585	0.2504233947
586	0.2501502598
587	0.2499382041
588	0.2497714708
589	0.2496144681
590	0.2493280964
591	0.2491912599
592	0.248901191
593	0.2487122817
594	0.2485986404
595	0.248348169
596	0.2482303731
597	0.248031258
598	0.2478524187
599	0.2476538991
600	0.2476139113
601	0.247600886
602	0.2474683247
603	0.2473575058
604	0.2471519744
605	0.2470538416
606	0.2467438721
607	0.2464689595
608	0.2462781821
609	0.2460225966
610	0.2458114647
611	0.245563653
612	0.2453836508
613	0.2452431347
614	0.2451652292
615	0.2449939126
616	0.2448036866
617	0.2445366775
618	0.2443722711
619	0.2442743593
620	0.2440402117
621	0.243966678
622	0.2438119148
623	0.2437867784
624	0.2436905435
625	0.2435892048
626	0.2434168669
627	0.2432350912
628	0.2429942959
629	0.2427250578
630	0.2424667457
631	0.2422594698
632	0.2420825036
633	0.2419392821
634	0.241891768
635	0.2417104826
636	0.2415037336
637	0.2412036554
638	0.2409769557
639	0.2408394803
640	0.2406274056
641	0.2404805447
642	0.2402465106
643	0.240038525
644	0.2398888679
645	0.2398633536
646	0.2396126116
647	0.239307292
648	0.239071501
649	0.238906235
650	0.2386162838
651	0.2384461275
652	0.2382810145
653	0.2381069123
654	0.2378523329
655	0.2376439211
656	0.2374015753
657	0.2371885756
658	0.2370351749
659	0.2368799085
660	0.2367005036
661	0.2366844226
662	0.2364737068
663	0.2362456055
664	0.2360530293
665	0.2357160894
666	0.235567608
667	0.235437816
668	0.2353939444
669	0.2352675229
670	0.2350969815
671	0.235090465
672	0.234844243
673	0.2346729081
674	0.2343087578
675	0.2341247734
676	0.2340021476
677	0.233732229
678	0.2335455193
679	0.2333906893
680	0.2333588335
681	0.2332884138
682	0.2330630519
683	0.2328794994
684	0.2326185267
685	0.2324882181
686	0.2322625439
687	0.2322395414
688	0.2320742445
689	0.2319036981
690	0.2317335989
691	0.2315836876
692	0.2315107638
693	0.2314185331
694	0.2312846143
695	0.2310334762
696	0.2309195627
697	0.2307531418
698	0.2306077315
699	0.2304871626
700	0.2303665057
701	0.2301296141
702	0.2299677912
703	0.2297883808
704	0.2295408043
705	0.2293447571
706	0.2291657416
707	0.22879645
708	0.2286447682
709	0.2284536157
